processed_text,subject,body,urgency
Routine Check: System Logs. Review the updated work-from-home guidelines attached herewith.,Routine Check: System Logs,Review the updated work-from-home guidelines attached herewith.,not_urgent
Routine Check: System Logs. Performance reviews for all employees will be conducted next week.,Routine Check: System Logs,Performance reviews for all employees will be conducted next week.,not_urgent
Critical Bug in Production Environment. Unauthorized access detected; escalate to the security team immediately.,Critical Bug in Production Environment,Unauthorized access detected; escalate to the security team immediately.,urgent
Suggestion: Enhance FAQ Section. Performance reviews for all employees will be conducted next week.,Suggestion: Enhance FAQ Section,Performance reviews for all employees will be conducted next week.,not_urgent
System Outage: Immediate Action Required. Unauthorized access detected; escalate to the security team immediately.,System Outage: Immediate Action Required,Unauthorized access detected; escalate to the security team immediately.,urgent
High-Priority: Payment Gateway Down. Firewall settings need to be reviewed to address the security breach.,High-Priority: Payment Gateway Down,Firewall settings need to be reviewed to address the security breach.,urgent
Urgent: Stakeholder Meeting Postponed. Firewall settings need to be reviewed to address the security breach.,Urgent: Stakeholder Meeting Postponed,Firewall settings need to be reviewed to address the security breach.,urgent
Routine Check: System Logs. Consider adding more details to the FAQ section for better clarity.,Routine Check: System Logs,Consider adding more details to the FAQ section for better clarity.,not_urgent
Request for Profile Update. Performance reviews for all employees will be conducted next week.,Request for Profile Update,Performance reviews for all employees will be conducted next week.,not_urgent
Confirmation of Office Directory Update. This is a reminder about the scheduled maintenance this weekend.,Confirmation of Office Directory Update,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Critical Bug in Production Environment. Sensitive data has been exposed; we need to secure the system urgently.,Critical Bug in Production Environment,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Critical Bug in Production Environment. Production servers are overheating; shutdown required to prevent damage.,Critical Bug in Production Environment,Production servers are overheating; shutdown required to prevent damage.,urgent
System Outage: Immediate Action Required. Production servers are overheating; shutdown required to prevent damage.,System Outage: Immediate Action Required,Production servers are overheating; shutdown required to prevent damage.,urgent
Urgent: Stakeholder Meeting Postponed. Sensitive data has been exposed; we need to secure the system urgently.,Urgent: Stakeholder Meeting Postponed,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Critical Alert: Unauthorized Access Detected. Production servers are overheating; shutdown required to prevent damage.,Critical Alert: Unauthorized Access Detected,Production servers are overheating; shutdown required to prevent damage.,urgent
Confirmation of Office Directory Update. Consider adding more details to the FAQ section for better clarity.,Confirmation of Office Directory Update,Consider adding more details to the FAQ section for better clarity.,not_urgent
Emergency: Hardware Malfunction. Firewall settings need to be reviewed to address the security breach.,Emergency: Hardware Malfunction,Firewall settings need to be reviewed to address the security breach.,urgent
Query Regarding Leave Balances. This is a reminder about the scheduled maintenance this weekend.,Query Regarding Leave Balances,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Please address this issue before the end of the day to avoid escalation.,Data Breach Confirmed! Urgent Investigation Needed,Please address this issue before the end of the day to avoid escalation.,urgent
Confirmation of Office Directory Update. The issue is not urgent and can wait for regular working hours.,Confirmation of Office Directory Update,The issue is not urgent and can wait for regular working hours.,not_urgent
Follow-Up: Employee Satisfaction Survey. Routine log checks are required as part of the maintenance schedule.,Follow-Up: Employee Satisfaction Survey,Routine log checks are required as part of the maintenance schedule.,not_urgent
Query Regarding Leave Balances. This is not critical and can be resolved later.,Query Regarding Leave Balances,This is not critical and can be resolved later.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Firewall settings need to be reviewed to address the security breach.,Data Breach Confirmed! Urgent Investigation Needed,Firewall settings need to be reviewed to address the security breach.,urgent
Production Server Failure: Resolve ASAP. Unauthorized access detected; escalate to the security team immediately.,Production Server Failure: Resolve ASAP,Unauthorized access detected; escalate to the security team immediately.,urgent
Feedback Needed on Website Design. Can you confirm the leave balance for the current year?,Feedback Needed on Website Design,Can you confirm the leave balance for the current year?,not_urgent
Policy Update: Work from Home Guidelines. The office directory update is pending; kindly confirm the changes.,Policy Update: Work from Home Guidelines,The office directory update is pending; kindly confirm the changes.,not_urgent
High-Priority: Payment Gateway Down. The entire system is unresponsive and needs immediate resolution.,High-Priority: Payment Gateway Down,The entire system is unresponsive and needs immediate resolution.,urgent
Production Server Failure: Resolve ASAP. A critical bug has been detected that is halting operations.,Production Server Failure: Resolve ASAP,A critical bug has been detected that is halting operations.,urgent
Production Server Failure: Resolve ASAP. Firewall settings need to be reviewed to address the security breach.,Production Server Failure: Resolve ASAP,Firewall settings need to be reviewed to address the security breach.,urgent
Data Breach Confirmed! Urgent Investigation Needed. Sensitive data has been exposed; we need to secure the system urgently.,Data Breach Confirmed! Urgent Investigation Needed,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Query Regarding Leave Balances. We would like your input on the new website design.,Query Regarding Leave Balances,We would like your input on the new website design.,not_urgent
Reminder: Upcoming Maintenance. Please update the user profile picture at your earliest convenience.,Reminder: Upcoming Maintenance,Please update the user profile picture at your earliest convenience.,not_urgent
Reminder: Upcoming Maintenance. The office directory update is pending; kindly confirm the changes.,Reminder: Upcoming Maintenance,The office directory update is pending; kindly confirm the changes.,not_urgent
Request for Profile Update. This is not critical and can be resolved later.,Request for Profile Update,This is not critical and can be resolved later.,not_urgent
Reminder: Upcoming Maintenance. This is not critical and can be resolved later.,Reminder: Upcoming Maintenance,This is not critical and can be resolved later.,not_urgent
Follow-Up: Employee Satisfaction Survey. Can you confirm the leave balance for the current year?,Follow-Up: Employee Satisfaction Survey,Can you confirm the leave balance for the current year?,not_urgent
Monthly Performance Review Meeting. Consider adding more details to the FAQ section for better clarity.,Monthly Performance Review Meeting,Consider adding more details to the FAQ section for better clarity.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. The scheduled meeting with stakeholders has been delayed; inform all parties.,Data Breach Confirmed! Urgent Investigation Needed,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Suggestion: Enhance FAQ Section. Consider adding more details to the FAQ section for better clarity.,Suggestion: Enhance FAQ Section,Consider adding more details to the FAQ section for better clarity.,not_urgent
System Outage: Immediate Action Required. Unauthorized access detected; escalate to the security team immediately.,System Outage: Immediate Action Required,Unauthorized access detected; escalate to the security team immediately.,urgent
Data Breach Confirmed! Urgent Investigation Needed. Please address this issue before the end of the day to avoid escalation.,Data Breach Confirmed! Urgent Investigation Needed,Please address this issue before the end of the day to avoid escalation.,urgent
Suggestion: Enhance FAQ Section. Performance reviews for all employees will be conducted next week.,Suggestion: Enhance FAQ Section,Performance reviews for all employees will be conducted next week.,not_urgent
Suggestion: Enhance FAQ Section. Please update the user profile picture at your earliest convenience.,Suggestion: Enhance FAQ Section,Please update the user profile picture at your earliest convenience.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. A critical bug has been detected that is halting operations.,Data Breach Confirmed! Urgent Investigation Needed,A critical bug has been detected that is halting operations.,urgent
Production Server Failure: Resolve ASAP. Production servers are overheating; shutdown required to prevent damage.,Production Server Failure: Resolve ASAP,Production servers are overheating; shutdown required to prevent damage.,urgent
Data Breach Confirmed! Urgent Investigation Needed. Firewall settings need to be reviewed to address the security breach.,Data Breach Confirmed! Urgent Investigation Needed,Firewall settings need to be reviewed to address the security breach.,urgent
Routine Check: System Logs. This is not critical and can be resolved later.,Routine Check: System Logs,This is not critical and can be resolved later.,not_urgent
Production Server Failure: Resolve ASAP. Firewall settings need to be reviewed to address the security breach.,Production Server Failure: Resolve ASAP,Firewall settings need to be reviewed to address the security breach.,urgent
Confirmation of Office Directory Update. Can you confirm the leave balance for the current year?,Confirmation of Office Directory Update,Can you confirm the leave balance for the current year?,not_urgent
Critical Alert: Unauthorized Access Detected. Unauthorized access detected; escalate to the security team immediately.,Critical Alert: Unauthorized Access Detected,Unauthorized access detected; escalate to the security team immediately.,urgent
Monthly Performance Review Meeting. This is a reminder about the scheduled maintenance this weekend.,Monthly Performance Review Meeting,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Critical Bug in Production Environment. A critical bug has been detected that is halting operations.,Critical Bug in Production Environment,A critical bug has been detected that is halting operations.,urgent
Follow-Up: Employee Satisfaction Survey. The issue is not urgent and can wait for regular working hours.,Follow-Up: Employee Satisfaction Survey,The issue is not urgent and can wait for regular working hours.,not_urgent
Production Server Failure: Resolve ASAP. All transactions are failing due to a payment gateway issue.,Production Server Failure: Resolve ASAP,All transactions are failing due to a payment gateway issue.,urgent
Network Crash Impacting All Users. Production servers are overheating; shutdown required to prevent damage.,Network Crash Impacting All Users,Production servers are overheating; shutdown required to prevent damage.,urgent
Urgent: Stakeholder Meeting Postponed. Firewall settings need to be reviewed to address the security breach.,Urgent: Stakeholder Meeting Postponed,Firewall settings need to be reviewed to address the security breach.,urgent
Routine Check: System Logs. The issue is not urgent and can wait for regular working hours.,Routine Check: System Logs,The issue is not urgent and can wait for regular working hours.,not_urgent
Urgent: Stakeholder Meeting Postponed. The entire system is unresponsive and needs immediate resolution.,Urgent: Stakeholder Meeting Postponed,The entire system is unresponsive and needs immediate resolution.,urgent
Suggestion: Enhance FAQ Section. Please update the user profile picture at your earliest convenience.,Suggestion: Enhance FAQ Section,Please update the user profile picture at your earliest convenience.,not_urgent
Request for Profile Update. Routine log checks are required as part of the maintenance schedule.,Request for Profile Update,Routine log checks are required as part of the maintenance schedule.,not_urgent
Urgent: Stakeholder Meeting Postponed. The entire system is unresponsive and needs immediate resolution.,Urgent: Stakeholder Meeting Postponed,The entire system is unresponsive and needs immediate resolution.,urgent
Data Breach Confirmed! Urgent Investigation Needed. The entire system is unresponsive and needs immediate resolution.,Data Breach Confirmed! Urgent Investigation Needed,The entire system is unresponsive and needs immediate resolution.,urgent
Emergency: Hardware Malfunction. The entire system is unresponsive and needs immediate resolution.,Emergency: Hardware Malfunction,The entire system is unresponsive and needs immediate resolution.,urgent
Critical Alert: Unauthorized Access Detected. Please address this issue before the end of the day to avoid escalation.,Critical Alert: Unauthorized Access Detected,Please address this issue before the end of the day to avoid escalation.,urgent
System Outage: Immediate Action Required. Sensitive data has been exposed; we need to secure the system urgently.,System Outage: Immediate Action Required,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Critical Alert: Unauthorized Access Detected. Production servers are overheating; shutdown required to prevent damage.,Critical Alert: Unauthorized Access Detected,Production servers are overheating; shutdown required to prevent damage.,urgent
Reminder: Upcoming Maintenance. The issue is not urgent and can wait for regular working hours.,Reminder: Upcoming Maintenance,The issue is not urgent and can wait for regular working hours.,not_urgent
Emergency: Hardware Malfunction. Please address this issue before the end of the day to avoid escalation.,Emergency: Hardware Malfunction,Please address this issue before the end of the day to avoid escalation.,urgent
Critical Bug in Production Environment. Please address this issue before the end of the day to avoid escalation.,Critical Bug in Production Environment,Please address this issue before the end of the day to avoid escalation.,urgent
Query Regarding Leave Balances. The issue is not urgent and can wait for regular working hours.,Query Regarding Leave Balances,The issue is not urgent and can wait for regular working hours.,not_urgent
Monthly Performance Review Meeting. Please update the user profile picture at your earliest convenience.,Monthly Performance Review Meeting,Please update the user profile picture at your earliest convenience.,not_urgent
Query Regarding Leave Balances. We would like your input on the new website design.,Query Regarding Leave Balances,We would like your input on the new website design.,not_urgent
Follow-Up: Employee Satisfaction Survey. We would like your input on the new website design.,Follow-Up: Employee Satisfaction Survey,We would like your input on the new website design.,not_urgent
Urgent: Stakeholder Meeting Postponed. Firewall settings need to be reviewed to address the security breach.,Urgent: Stakeholder Meeting Postponed,Firewall settings need to be reviewed to address the security breach.,urgent
"Security Incident: Firewall Breach. The main network is down, affecting all departments.",Security Incident: Firewall Breach,"The main network is down, affecting all departments.",urgent
Emergency: Hardware Malfunction. The scheduled meeting with stakeholders has been delayed; inform all parties.,Emergency: Hardware Malfunction,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
System Outage: Immediate Action Required. Firewall settings need to be reviewed to address the security breach.,System Outage: Immediate Action Required,Firewall settings need to be reviewed to address the security breach.,urgent
Critical Bug in Production Environment. Sensitive data has been exposed; we need to secure the system urgently.,Critical Bug in Production Environment,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Query Regarding Leave Balances. Can you confirm the leave balance for the current year?,Query Regarding Leave Balances,Can you confirm the leave balance for the current year?,not_urgent
Confirmation of Office Directory Update. Please update the user profile picture at your earliest convenience.,Confirmation of Office Directory Update,Please update the user profile picture at your earliest convenience.,not_urgent
Request for Profile Update. This is a reminder about the scheduled maintenance this weekend.,Request for Profile Update,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Reminder: Upcoming Maintenance. Please provide feedback on the recent satisfaction survey results.,Reminder: Upcoming Maintenance,Please provide feedback on the recent satisfaction survey results.,not_urgent
Confirmation of Office Directory Update. The issue is not urgent and can wait for regular working hours.,Confirmation of Office Directory Update,The issue is not urgent and can wait for regular working hours.,not_urgent
Emergency: Hardware Malfunction. Unauthorized access detected; escalate to the security team immediately.,Emergency: Hardware Malfunction,Unauthorized access detected; escalate to the security team immediately.,urgent
Critical Bug in Production Environment. The scheduled meeting with stakeholders has been delayed; inform all parties.,Critical Bug in Production Environment,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
"System Outage: Immediate Action Required. The main network is down, affecting all departments.",System Outage: Immediate Action Required,"The main network is down, affecting all departments.",urgent
"Critical Bug in Production Environment. The main network is down, affecting all departments.",Critical Bug in Production Environment,"The main network is down, affecting all departments.",urgent
Query Regarding Leave Balances. Can you confirm the leave balance for the current year?,Query Regarding Leave Balances,Can you confirm the leave balance for the current year?,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Please address this issue before the end of the day to avoid escalation.,Data Breach Confirmed! Urgent Investigation Needed,Please address this issue before the end of the day to avoid escalation.,urgent
Data Breach Confirmed! Urgent Investigation Needed. Production servers are overheating; shutdown required to prevent damage.,Data Breach Confirmed! Urgent Investigation Needed,Production servers are overheating; shutdown required to prevent damage.,urgent
Feedback Needed on Website Design. Please provide feedback on the recent satisfaction survey results.,Feedback Needed on Website Design,Please provide feedback on the recent satisfaction survey results.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. A critical bug has been detected that is halting operations.,Data Breach Confirmed! Urgent Investigation Needed,A critical bug has been detected that is halting operations.,urgent
Policy Update: Work from Home Guidelines. Can you confirm the leave balance for the current year?,Policy Update: Work from Home Guidelines,Can you confirm the leave balance for the current year?,not_urgent
Security Incident: Firewall Breach. Sensitive data has been exposed; we need to secure the system urgently.,Security Incident: Firewall Breach,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Feedback Needed on Website Design. Routine log checks are required as part of the maintenance schedule.,Feedback Needed on Website Design,Routine log checks are required as part of the maintenance schedule.,not_urgent
Policy Update: Work from Home Guidelines. This is not critical and can be resolved later.,Policy Update: Work from Home Guidelines,This is not critical and can be resolved later.,not_urgent
Emergency: Hardware Malfunction. Sensitive data has been exposed; we need to secure the system urgently.,Emergency: Hardware Malfunction,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Suggestion: Enhance FAQ Section. Performance reviews for all employees will be conducted next week.,Suggestion: Enhance FAQ Section,Performance reviews for all employees will be conducted next week.,not_urgent
Production Server Failure: Resolve ASAP. Sensitive data has been exposed; we need to secure the system urgently.,Production Server Failure: Resolve ASAP,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Confirmation of Office Directory Update. This is a reminder about the scheduled maintenance this weekend.,Confirmation of Office Directory Update,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Critical Alert: Unauthorized Access Detected. Sensitive data has been exposed; we need to secure the system urgently.,Critical Alert: Unauthorized Access Detected,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Data Breach Confirmed! Urgent Investigation Needed. A critical bug has been detected that is halting operations.,Data Breach Confirmed! Urgent Investigation Needed,A critical bug has been detected that is halting operations.,urgent
Suggestion: Enhance FAQ Section. Please provide feedback on the recent satisfaction survey results.,Suggestion: Enhance FAQ Section,Please provide feedback on the recent satisfaction survey results.,not_urgent
Policy Update: Work from Home Guidelines. Please update the user profile picture at your earliest convenience.,Policy Update: Work from Home Guidelines,Please update the user profile picture at your earliest convenience.,not_urgent
Monthly Performance Review Meeting. Please provide feedback on the recent satisfaction survey results.,Monthly Performance Review Meeting,Please provide feedback on the recent satisfaction survey results.,not_urgent
Critical Alert: Unauthorized Access Detected. A critical bug has been detected that is halting operations.,Critical Alert: Unauthorized Access Detected,A critical bug has been detected that is halting operations.,urgent
Critical Bug in Production Environment. Sensitive data has been exposed; we need to secure the system urgently.,Critical Bug in Production Environment,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Urgent: Stakeholder Meeting Postponed. Please address this issue before the end of the day to avoid escalation.,Urgent: Stakeholder Meeting Postponed,Please address this issue before the end of the day to avoid escalation.,urgent
Follow-Up: Employee Satisfaction Survey. The office directory update is pending; kindly confirm the changes.,Follow-Up: Employee Satisfaction Survey,The office directory update is pending; kindly confirm the changes.,not_urgent
Production Server Failure: Resolve ASAP. Firewall settings need to be reviewed to address the security breach.,Production Server Failure: Resolve ASAP,Firewall settings need to be reviewed to address the security breach.,urgent
Security Incident: Firewall Breach. Sensitive data has been exposed; we need to secure the system urgently.,Security Incident: Firewall Breach,Sensitive data has been exposed; we need to secure the system urgently.,urgent
High-Priority: Payment Gateway Down. Production servers are overheating; shutdown required to prevent damage.,High-Priority: Payment Gateway Down,Production servers are overheating; shutdown required to prevent damage.,urgent
Confirmation of Office Directory Update. We would like your input on the new website design.,Confirmation of Office Directory Update,We would like your input on the new website design.,not_urgent
Security Incident: Firewall Breach. The scheduled meeting with stakeholders has been delayed; inform all parties.,Security Incident: Firewall Breach,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Feedback Needed on Website Design. This is not critical and can be resolved later.,Feedback Needed on Website Design,This is not critical and can be resolved later.,not_urgent
Confirmation of Office Directory Update. Routine log checks are required as part of the maintenance schedule.,Confirmation of Office Directory Update,Routine log checks are required as part of the maintenance schedule.,not_urgent
Request for Profile Update. The issue is not urgent and can wait for regular working hours.,Request for Profile Update,The issue is not urgent and can wait for regular working hours.,not_urgent
Network Crash Impacting All Users. All transactions are failing due to a payment gateway issue.,Network Crash Impacting All Users,All transactions are failing due to a payment gateway issue.,urgent
Critical Alert: Unauthorized Access Detected. Production servers are overheating; shutdown required to prevent damage.,Critical Alert: Unauthorized Access Detected,Production servers are overheating; shutdown required to prevent damage.,urgent
Query Regarding Leave Balances. We would like your input on the new website design.,Query Regarding Leave Balances,We would like your input on the new website design.,not_urgent
Critical Bug in Production Environment. Production servers are overheating; shutdown required to prevent damage.,Critical Bug in Production Environment,Production servers are overheating; shutdown required to prevent damage.,urgent
Confirmation of Office Directory Update. Please provide feedback on the recent satisfaction survey results.,Confirmation of Office Directory Update,Please provide feedback on the recent satisfaction survey results.,not_urgent
Routine Check: System Logs. The office directory update is pending; kindly confirm the changes.,Routine Check: System Logs,The office directory update is pending; kindly confirm the changes.,not_urgent
Follow-Up: Employee Satisfaction Survey. Performance reviews for all employees will be conducted next week.,Follow-Up: Employee Satisfaction Survey,Performance reviews for all employees will be conducted next week.,not_urgent
Security Incident: Firewall Breach. All transactions are failing due to a payment gateway issue.,Security Incident: Firewall Breach,All transactions are failing due to a payment gateway issue.,urgent
Emergency: Hardware Malfunction. Firewall settings need to be reviewed to address the security breach.,Emergency: Hardware Malfunction,Firewall settings need to be reviewed to address the security breach.,urgent
Production Server Failure: Resolve ASAP. All transactions are failing due to a payment gateway issue.,Production Server Failure: Resolve ASAP,All transactions are failing due to a payment gateway issue.,urgent
High-Priority: Payment Gateway Down. Production servers are overheating; shutdown required to prevent damage.,High-Priority: Payment Gateway Down,Production servers are overheating; shutdown required to prevent damage.,urgent
Routine Check: System Logs. Consider adding more details to the FAQ section for better clarity.,Routine Check: System Logs,Consider adding more details to the FAQ section for better clarity.,not_urgent
Reminder: Upcoming Maintenance. The office directory update is pending; kindly confirm the changes.,Reminder: Upcoming Maintenance,The office directory update is pending; kindly confirm the changes.,not_urgent
Follow-Up: Employee Satisfaction Survey. Routine log checks are required as part of the maintenance schedule.,Follow-Up: Employee Satisfaction Survey,Routine log checks are required as part of the maintenance schedule.,not_urgent
Confirmation of Office Directory Update. Please update the user profile picture at your earliest convenience.,Confirmation of Office Directory Update,Please update the user profile picture at your earliest convenience.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Production servers are overheating; shutdown required to prevent damage.,Data Breach Confirmed! Urgent Investigation Needed,Production servers are overheating; shutdown required to prevent damage.,urgent
Production Server Failure: Resolve ASAP. All transactions are failing due to a payment gateway issue.,Production Server Failure: Resolve ASAP,All transactions are failing due to a payment gateway issue.,urgent
Suggestion: Enhance FAQ Section. Routine log checks are required as part of the maintenance schedule.,Suggestion: Enhance FAQ Section,Routine log checks are required as part of the maintenance schedule.,not_urgent
Security Incident: Firewall Breach. Production servers are overheating; shutdown required to prevent damage.,Security Incident: Firewall Breach,Production servers are overheating; shutdown required to prevent damage.,urgent
Critical Alert: Unauthorized Access Detected. All transactions are failing due to a payment gateway issue.,Critical Alert: Unauthorized Access Detected,All transactions are failing due to a payment gateway issue.,urgent
Monthly Performance Review Meeting. We would like your input on the new website design.,Monthly Performance Review Meeting,We would like your input on the new website design.,not_urgent
Reminder: Upcoming Maintenance. The office directory update is pending; kindly confirm the changes.,Reminder: Upcoming Maintenance,The office directory update is pending; kindly confirm the changes.,not_urgent
Suggestion: Enhance FAQ Section. This is a reminder about the scheduled maintenance this weekend.,Suggestion: Enhance FAQ Section,This is a reminder about the scheduled maintenance this weekend.,not_urgent
System Outage: Immediate Action Required. The entire system is unresponsive and needs immediate resolution.,System Outage: Immediate Action Required,The entire system is unresponsive and needs immediate resolution.,urgent
Monthly Performance Review Meeting. The office directory update is pending; kindly confirm the changes.,Monthly Performance Review Meeting,The office directory update is pending; kindly confirm the changes.,not_urgent
Policy Update: Work from Home Guidelines. We would like your input on the new website design.,Policy Update: Work from Home Guidelines,We would like your input on the new website design.,not_urgent
Critical Alert: Unauthorized Access Detected. Firewall settings need to be reviewed to address the security breach.,Critical Alert: Unauthorized Access Detected,Firewall settings need to be reviewed to address the security breach.,urgent
"Urgent: Stakeholder Meeting Postponed. The main network is down, affecting all departments.",Urgent: Stakeholder Meeting Postponed,"The main network is down, affecting all departments.",urgent
System Outage: Immediate Action Required. The scheduled meeting with stakeholders has been delayed; inform all parties.,System Outage: Immediate Action Required,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Reminder: Upcoming Maintenance. Please provide feedback on the recent satisfaction survey results.,Reminder: Upcoming Maintenance,Please provide feedback on the recent satisfaction survey results.,not_urgent
Critical Bug in Production Environment. Firewall settings need to be reviewed to address the security breach.,Critical Bug in Production Environment,Firewall settings need to be reviewed to address the security breach.,urgent
System Outage: Immediate Action Required. Production servers are overheating; shutdown required to prevent damage.,System Outage: Immediate Action Required,Production servers are overheating; shutdown required to prevent damage.,urgent
Policy Update: Work from Home Guidelines. Please update the user profile picture at your earliest convenience.,Policy Update: Work from Home Guidelines,Please update the user profile picture at your earliest convenience.,not_urgent
Feedback Needed on Website Design. Please provide feedback on the recent satisfaction survey results.,Feedback Needed on Website Design,Please provide feedback on the recent satisfaction survey results.,not_urgent
Confirmation of Office Directory Update. Can you confirm the leave balance for the current year?,Confirmation of Office Directory Update,Can you confirm the leave balance for the current year?,not_urgent
Follow-Up: Employee Satisfaction Survey. We would like your input on the new website design.,Follow-Up: Employee Satisfaction Survey,We would like your input on the new website design.,not_urgent
Suggestion: Enhance FAQ Section. The office directory update is pending; kindly confirm the changes.,Suggestion: Enhance FAQ Section,The office directory update is pending; kindly confirm the changes.,not_urgent
Routine Check: System Logs. The issue is not urgent and can wait for regular working hours.,Routine Check: System Logs,The issue is not urgent and can wait for regular working hours.,not_urgent
High-Priority: Payment Gateway Down. Production servers are overheating; shutdown required to prevent damage.,High-Priority: Payment Gateway Down,Production servers are overheating; shutdown required to prevent damage.,urgent
Routine Check: System Logs. Consider adding more details to the FAQ section for better clarity.,Routine Check: System Logs,Consider adding more details to the FAQ section for better clarity.,not_urgent
Policy Update: Work from Home Guidelines. We would like your input on the new website design.,Policy Update: Work from Home Guidelines,We would like your input on the new website design.,not_urgent
Monthly Performance Review Meeting. Can you confirm the leave balance for the current year?,Monthly Performance Review Meeting,Can you confirm the leave balance for the current year?,not_urgent
Emergency: Hardware Malfunction. All transactions are failing due to a payment gateway issue.,Emergency: Hardware Malfunction,All transactions are failing due to a payment gateway issue.,urgent
Query Regarding Leave Balances. Performance reviews for all employees will be conducted next week.,Query Regarding Leave Balances,Performance reviews for all employees will be conducted next week.,not_urgent
Feedback Needed on Website Design. Please update the user profile picture at your earliest convenience.,Feedback Needed on Website Design,Please update the user profile picture at your earliest convenience.,not_urgent
High-Priority: Payment Gateway Down. Production servers are overheating; shutdown required to prevent damage.,High-Priority: Payment Gateway Down,Production servers are overheating; shutdown required to prevent damage.,urgent
Critical Bug in Production Environment. Production servers are overheating; shutdown required to prevent damage.,Critical Bug in Production Environment,Production servers are overheating; shutdown required to prevent damage.,urgent
Routine Check: System Logs. Can you confirm the leave balance for the current year?,Routine Check: System Logs,Can you confirm the leave balance for the current year?,not_urgent
Routine Check: System Logs. Consider adding more details to the FAQ section for better clarity.,Routine Check: System Logs,Consider adding more details to the FAQ section for better clarity.,not_urgent
Security Incident: Firewall Breach. All transactions are failing due to a payment gateway issue.,Security Incident: Firewall Breach,All transactions are failing due to a payment gateway issue.,urgent
Network Crash Impacting All Users. A critical bug has been detected that is halting operations.,Network Crash Impacting All Users,A critical bug has been detected that is halting operations.,urgent
Network Crash Impacting All Users. The entire system is unresponsive and needs immediate resolution.,Network Crash Impacting All Users,The entire system is unresponsive and needs immediate resolution.,urgent
Query Regarding Leave Balances. Routine log checks are required as part of the maintenance schedule.,Query Regarding Leave Balances,Routine log checks are required as part of the maintenance schedule.,not_urgent
